"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-05-07",0,FALSE,"596299779514060800",TRUE,NA,NA,NA,NA,NA,14,FALSE,"SamarHindustan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji opposition made fake church attacks a matter of national debate. Why can't BJP trigger a debate on real <U+2026>",FALSE
"2015-05-07",0,FALSE,"596299779166052352",TRUE,NA,NA,NA,NA,NA,31,FALSE,"sameer0924","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @Neelam_Soti: .@narendramodi ji you sought report from State govt on an alleged Church attack in Haryana. Please also seek report on Nad<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299776519311360",FALSE,NA,NA,"596294839420858369","IshanMishr","605640136",0,FALSE,"guptmp","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","@IshanMishr @narendramodi <U+0938><U+0947><U+0915><U+0941><U+0932><U+0930>-<U+0938><U+0947><U+0915><U+0941><U+0932><U+0930> <U+0916><U+0947><U+0932><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+092D><U+093E><U+0930><U+0924> <U+0915><U+094B> <U+0915><U+0941><U+091B> <U+0938><U+0940><U+0916><U+0928><U+0947> <U+0928> <U+0926><U+0947><U+0917><U+0947><U+0902><U+0964>",FALSE
"2015-05-07",0,FALSE,"596299774971617280",TRUE,NA,NA,NA,NA,NA,19,FALSE,"rknshah","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji security is prerequisite of development. If Hindus are not secure what will they do of development?",FALSE
"2015-05-07",0,FALSE,"596299767317008384",FALSE,"0","0","596297985593487360","JoiyaDr","1073145314",0,FALSE,"pandey_braj","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JoiyaDr @narendramodi @RSSorg @VgDaula <U+0932><U+094B><U+092D><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930><U+094B><U+0902> <U+0928><U+0947> <U+0938><U+0924><U+094D><U+092F> <U+0915><U+093E> <U+0935><U+0927><U+0915><U+0930> <U+0926><U+093F><U+092F><U+093E>,<U+0927><U+0930><U+094D><U+092E> <U+0915><U+094B> <U+091A><U+0930><U+094D><U+0917><U+0908>.#<U+0905><U+092C> <U+0926><U+0947><U+0936> <U+092E><U+0947><U+0902> <U+0909><U+0924><U+094D><U+0924><U+092E> <U+0938><U+0930><U+0915><U+093E><U+0930> RSS<U+0915><U+0947> <U+0938><U+0902><U+0924><U+094B> <U+0915><U+093E> <U+0938><U+092E><U+094D><U+092E><U+093E><U+0928><U+094D><U+0939><U+094B>",FALSE
"2015-05-07",0,FALSE,"596299766473961473",TRUE,NA,NA,NA,NA,NA,2,FALSE,"NationalistAbhi","<a href=""http://app.tweetrobo.com"" rel=""nofollow"">Tweet Robo</a>","RT @suyashdeep: #TweetRobo http://t.co/qs6HXCpHm3 https://t.co/jL2Br1faMi",FALSE
"2015-05-07",0,FALSE,"596299748925054976",TRUE,NA,NA,NA,NA,NA,23,FALSE,"SamarHindustan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji u issued statements assuring security of minorities. Please also issue a statement giving assurance to N<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299748241330176",TRUE,NA,NA,NA,NA,NA,31,FALSE,"rknshah","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji you sought report from State govt on an alleged Church attack in Haryana. Please also seek report on Nad<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299710752665600",TRUE,NA,NA,NA,NA,NA,31,FALSE,"mahesh10816","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji you sought report from State govt on an alleged Church attack in Haryana. Please also seek report on Nad<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299707527270400",TRUE,NA,NA,NA,NA,NA,14,FALSE,"manekshaws","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji opposition made fake church attacks a matter of national debate. Why can't BJP trigger a debate on real <U+2026>",FALSE
